Story ID,Capability ID,Capability Name,Story Type,Actor,As a,I want,So that,Preconditions,Main Flow,Acceptance Criteria,Edge Cases,Primary Screens,APIs,Events,Errors,Tests,Cursor Prompt,Slice,Status
US-008-CONTROL,B-008,Onboarding Flow,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Onboarding Flow","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-006|CL-001|CL-002|CL-003|OPS-005) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-008 supports tenant-scoped happy path for Onboarding Flow | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-006|CL-001|CL-002|CL-003|OPS-005,/onboarding-flows,"onboarding.flow_published, onboarding.submitted",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-003,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-009-CONFIG,B-009,Member Area / Client Portal,CONFIG,Client,Client,configure and operate Member Area / Client Portal,the platform can deliver Member Area / Client Portal in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CL-004|CL-005|CL-009|CL-015|OPS-003) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-009 supports tenant-scoped happy path for Member Area / Client Portal | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CL-004|CL-005|CL-009|CL-015|OPS-003,/member-home,"content.assigned, member_home.rebuilt",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-004,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-009-RUNTIME,B-009,Member Area / Client Portal,RUNTIME,Client,Client,use Member Area / Client Portal in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CL-004|CL-005|CL-009|CL-015|OPS-003) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-009 supports tenant-scoped happy path for Member Area / Client Portal | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CL-004|CL-005|CL-009|CL-015|OPS-003,/member-home,"content.assigned, member_home.rebuilt",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-004,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-009-CONTROL,B-009,Member Area / Client Portal,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Member Area / Client Portal","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CL-004|CL-005|CL-009|CL-015|OPS-003) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-009 supports tenant-scoped happy path for Member Area / Client Portal | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CL-004|CL-005|CL-009|CL-015|OPS-003,/member-home,"content.assigned, member_home.rebuilt",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-004,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-010-CONFIG,B-010,Journey Authoring / Versioning,CONFIG,Coach,Coach,configure and operate Journey Authoring / Versioning,the platform can deliver Journey Authoring / Versioning in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-007|CS-008|CS-009|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-010 supports tenant-scoped happy path for Journey Authoring / Versioning | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-007|CS-008|CS-009|OPS-006,/journeys,"journey.draft_created, journey.version_published",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PUBLISH_VALIDATION_FAILED|PB_ERR_CANONICAL_REF_INVALID,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-005,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-010-RUNTIME,B-010,Journey Authoring / Versioning,RUNTIME,Coach,Coach,use Journey Authoring / Versioning in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-007|CS-008|CS-009|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-010 supports tenant-scoped happy path for Journey Authoring / Versioning | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-007|CS-008|CS-009|OPS-006,/journeys,"journey.draft_created, journey.version_published",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PUBLISH_VALIDATION_FAILED|PB_ERR_CANONICAL_REF_INVALID,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-005,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-010-CONTROL,B-010,Journey Authoring / Versioning,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Journey Authoring / Versioning","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-007|CS-008|CS-009|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-010 supports tenant-scoped happy path for Journey Authoring / Versioning | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-007|CS-008|CS-009|OPS-006,/journeys,"journey.draft_created, journey.version_published",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PUBLISH_VALIDATION_FAILED|PB_ERR_CANONICAL_REF_INVALID,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-005,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-011-CONFIG,B-011,Content Management / Delivery,CONFIG,Coach + Client,Coach + Client,configure and operate Content Management / Delivery,the platform can deliver Content Management / Delivery in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-010|CS-011|CL-009|CL-006|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-011 supports tenant-scoped happy path for Content Management / Delivery | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-010|CS-011|CL-009|CL-006|OPS-006,/content-spaces,"content.item_created, content.canonical_ref_bound",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PUBLISH_VALIDATION_FAILED|PB_ERR_CANONICAL_REF_INVALID,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-005,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-011-RUNTIME,B-011,Content Management / Delivery,RUNTIME,Coach + Client,Coach + Client,use Content Management / Delivery in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-010|CS-011|CL-009|CL-006|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-011 supports tenant-scoped happy path for Content Management / Delivery | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-010|CS-011|CL-009|CL-006|OPS-006,/content-spaces,"content.item_created, content.canonical_ref_bound",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PUBLISH_VALIDATION_FAILED|PB_ERR_CANONICAL_REF_INVALID,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-005,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-011-CONTROL,B-011,Content Management / Delivery,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Content Management / Delivery","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-010|CS-011|CL-009|CL-006|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-011 supports tenant-scoped happy path for Content Management / Delivery | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-010|CS-011|CL-009|CL-006|OPS-006,/content-spaces,"content.item_created, content.canonical_ref_bound",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PUBLISH_VALIDATION_FAILED|PB_ERR_CANONICAL_REF_INVALID,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-005,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-012-CONFIG,B-012,Assignment / Enrollment,CONFIG,Coach,Coach,configure and operate Assignment / Enrollment,the platform can deliver Assignment / Enrollment in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-005|CS-012|CS-013|CL-004|OPS-003) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-012 supports tenant-scoped happy path for Assignment / Enrollment | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-005|CS-012|CS-013|CL-004|OPS-003,/assignments,"journey.assigned, enrollment.started",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-006,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-012-RUNTIME,B-012,Assignment / Enrollment,RUNTIME,Coach,Coach,use Assignment / Enrollment in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-005|CS-012|CS-013|CL-004|OPS-003) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-012 supports tenant-scoped happy path for Assignment / Enrollment | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-005|CS-012|CS-013|CL-004|OPS-003,/assignments,"journey.assigned, enrollment.started",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-006,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-012-CONTROL,B-012,Assignment / Enrollment,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Assignment / Enrollment","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-005|CS-012|CS-013|CL-004|OPS-003) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-012 supports tenant-scoped happy path for Assignment / Enrollment | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-005|CS-012|CS-013|CL-004|OPS-003,/assignments,"journey.assigned, enrollment.started",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-006,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-013-CONFIG,B-013,Progress / Next Step,CONFIG,Client + Coach,Client + Coach,configure and operate Progress / Next Step,the platform can deliver Progress / Next Step in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CL-004|CL-006|CL-007|CL-008|CS-018) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-013 supports tenant-scoped happy path for Progress / Next Step | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CL-004|CL-006|CL-007|CL-008|CS-018,/progress,"task.completed, reflection.submitted",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-007,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-013-RUNTIME,B-013,Progress / Next Step,RUNTIME,Client + Coach,Client + Coach,use Progress / Next Step in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CL-004|CL-006|CL-007|CL-008|CS-018) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-013 supports tenant-scoped happy path for Progress / Next Step | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CL-004|CL-006|CL-007|CL-008|CS-018,/progress,"task.completed, reflection.submitted",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-007,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-013-CONTROL,B-013,Progress / Next Step,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Progress / Next Step","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CL-004|CL-006|CL-007|CL-008|CS-018) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-013 supports tenant-scoped happy path for Progress / Next Step | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CL-004|CL-006|CL-007|CL-008|CS-018,/progress,"task.completed, reflection.submitted",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-007,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-014-CONFIG,B-014,Notifications,CONFIG,Client + Coach,Client + Coach,configure and operate Notifications,the platform can deliver Notifications in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-007|CL-015|OPS-008|OPS-009) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-014 supports tenant-scoped happy path for Notifications | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-007|CL-015|OPS-008|OPS-009,/notifications,"notification.scheduled, notification.sent",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-008,MVP-S2,READY_FOR_G1_G4_HANDOFF
US-014-RUNTIME,B-014,Notifications,RUNTIME,Client + Coach,Client + Coach,use Notifications in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-007|CL-015|OPS-008|OPS-009) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-014 supports tenant-scoped happy path for Notifications | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-007|CL-015|OPS-008|OPS-009,/notifications,"notification.scheduled, notification.sent",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-008,MVP-S2,READY_FOR_G1_G4_HANDOFF
US-014-CONTROL,B-014,Notifications,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Notifications","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-007|CL-015|OPS-008|OPS-009) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-014 supports tenant-scoped happy path for Notifications | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-007|CL-015|OPS-008|OPS-009,/notifications,"notification.scheduled, notification.sent",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-008,MVP-S2,READY_FOR_G1_G4_HANDOFF
US-015-CONFIG,B-015,Messaging / Coach Messages,CONFIG,Client + Coach,Client + Coach,configure and operate Messaging / Coach Messages,the platform can deliver Messaging / Coach Messages in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-014|CL-010|CS-015|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-015 supports tenant-scoped happy path for Messaging / Coach Messages | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-014|CL-010|CS-015|OPS-006,/messages,"message.sent, intervention.created",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-009,MVP-S2,READY_FOR_G1_G4_HANDOFF
US-015-RUNTIME,B-015,Messaging / Coach Messages,RUNTIME,Client + Coach,Client + Coach,use Messaging / Coach Messages in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-014|CL-010|CS-015|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-015 supports tenant-scoped happy path for Messaging / Coach Messages | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-014|CL-010|CS-015|OPS-006,/messages,"message.sent, intervention.created",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-009,MVP-S2,READY_FOR_G1_G4_HANDOFF
US-015-CONTROL,B-015,Messaging / Coach Messages,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Messaging / Coach Messages","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-014|CL-010|CS-015|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-015 supports tenant-scoped happy path for Messaging / Coach Messages | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-014|CL-010|CS-015|OPS-006,/messages,"message.sent, intervention.created",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-009,MVP-S2,READY_FOR_G1_G4_HANDOFF
US-016-CONFIG,B-016,Community / Moderation,CONFIG,Client + Coach + Moderator,Client + Coach + Moderator,configure and operate Community / Moderation,the platform can deliver Community / Moderation in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-008|CL-011|CS-016|OPS-009) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-016 supports tenant-scoped happy path for Community / Moderation | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-008|CL-011|CS-016|OPS-009,/community,"community.post_created, moderation.actioned",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_COMMUNITY_MODERATION_REQUIRED|PB_ERR_POST_FORBIDDEN,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-010,MVP-S2,READY_FOR_G1_G4_HANDOFF
